iter	Precision	Logloss
0	0.6271820449	0.6921522418
1	0.6966442953	0.6907411986
2	0.6916354557	0.6895486721
3	0.7088452088	0.688689574
4	0.7204968944	0.6876002128
5	0.7394540943	0.6863769932
6	0.7481572482	0.6854003748
7	0.7647768396	0.6838396341
8	0.7812113721	0.6826194587
9	0.7779097387	0.6816623405
10	0.7758007117	0.6806299343
11	0.7759237187	0.6799771993
12	0.7759036145	0.6789554816
13	0.7859733978	0.6778212093
14	0.7832335329	0.676824032
15	0.7821428571	0.6762294026
16	0.7834319527	0.6754701586
17	0.776733255	0.6749426625
18	0.7742690058	0.6735366991
19	0.7707373272	0.6727102649
20	0.7799767171	0.6713719453
21	0.7826589595	0.670367705
22	0.7788125728	0.669657814
23	0.7820965842	0.6687828255
24	0.7900355872	0.6677953853
25	0.7917159763	0.6669498013
26	0.7917159763	0.6663334339
27	0.7864768683	0.6657105694
28	0.790725327	0.664625881
29	0.7877358491	0.6632736241
30	0.7933884298	0.6621435734
31	0.7920094007	0.6609418261
32	0.7964705882	0.659927474
33	0.796037296	0.6589602624
34	0.8042203986	0.6573785937
35	0.8104265403	0.6566280226
36	0.8090154211	0.6556273137
37	0.8116113744	0.6548675054
38	0.8032979976	0.6541039577
39	0.7997671711	0.6529794562
40	0.8037383178	0.6519197208
41	0.8058479532	0.6508230403
42	0.8065268065	0.6500052297
43	0.8070175439	0.6492449523
44	0.8108108108	0.6480485198
45	0.8100820633	0.6473315371
46	0.8100820633	0.6466200962
47	0.8091334895	0.6466011553
48	0.8105263158	0.6458472659
49	0.8129411765	0.644639648
50	0.8132387707	0.643731177
51	0.8155111633	0.642734546
52	0.8176470588	0.6416889893
53	0.8144208038	0.6409656393
54	0.8141176471	0.6401551464
55	0.8131609871	0.639486342
56	0.8144208038	0.6384118584
57	0.8198090692	0.6373884351
58	0.8226190476	0.6365831725
59	0.8222748815	0.6356258072
60	0.8194607268	0.6345486148
61	0.8202115159	0.6339832141
62	0.8219339623	0.6330409504
63	0.8205430933	0.6324957442
64	0.8176470588	0.6315570545
65	0.8231850117	0.6306623519
66	0.8220140515	0.6295024363
67	0.8200934579	0.6287552353
68	0.8215962441	0.6279307441
69	0.8235294118	0.627231095
70	0.8240850059	0.6266174369
71	0.8272189349	0.6261142044
72	0.8235294118	0.6254711075
73	0.8233215548	0.6248102084
74	0.8258823529	0.6239011226
75	0.8296122209	0.6227920815
76	0.8347107438	0.6219027932
77	0.8321513002	0.6211706403
78	0.8385167464	0.6201258949
79	0.8421052632	0.6196000559
80	0.8382877527	0.6187955586
81	0.83847981	0.6179863209
82	0.8428571429	0.617263005
83	0.8468899522	0.6163938649
84	0.8491017964	0.6154593299
85	0.8497596154	0.614535068
86	0.8494623656	0.6138467685
87	0.8412322275	0.6127635442
88	0.8442330559	0.6118418152
89	0.8450536353	0.610858794
90	0.8438617402	0.6098679721
91	0.8430439952	0.6088530301
92	0.8432304038	0.6080117639
93	0.8451536643	0.6069862962
94	0.8471563981	0.606076422
95	0.8466111772	0.6053467641
96	0.8462455304	0.6049214224
97	0.8474374255	0.6043645231
98	0.8472553699	0.6033964517
99	0.8506571087	0.6028200232
100	0.8503562945	0.6020942334
101	0.852205006	0.6013292766
102	0.853221957	0.6007724434
103	0.8533969011	0.5998087291
104	0.8513674197	0.5991847181
105	0.8501783591	0.5984652924
106	0.8505338078	0.5975065629
107	0.8545887962	0.5967151632
108	0.8517200474	0.5961969091
109	0.855952381	0.5953547626
110	0.8557806913	0.5947835747
111	0.8561236623	0.5938940051
112	0.8542890717	0.593341169
113	0.8563015312	0.5926290132
114	0.8542890717	0.5922080607
115	0.8544378698	0.591338399
116	0.853427896	0.5913109244
117	0.8546099291	0.5909988931
118	0.8557919622	0.5903159885
119	0.8590047393	0.589513054
120	0.8564650059	0.5888464865
121	0.8564650059	0.588533345
122	0.8619047619	0.5879441925
123	0.86492891	0.5873698424
124	0.8635824437	0.5865466197
125	0.8680142687	0.5859960588
126	0.8680142687	0.5851679042
127	0.8676996424	0.5846300915
