iter	Passed	Remaining
0	21	21581
1	40	20256
2	59	19802
3	79	19823
4	100	19944
5	118	19631
6	138	19606
7	158	19707
8	178	19687
9	198	19686
10	218	19640
11	237	19587
12	259	19708
13	283	19952
14	303	19910
15	321	19770
16	340	19706
17	360	19675
18	382	19729
19	402	19699
20	421	19639
21	439	19518
22	458	19464
23	476	19364
24	498	19443
25	520	19489
26	540	19484
27	560	19457
28	580	19425
29	605	19593
30	623	19495
31	641	19392
32	659	19333
33	678	19289
34	698	19261
35	718	19235
36	737	19202
37	757	19187
38	777	19159
39	796	19121
40	815	19066
41	833	19021
42	851	18956
43	871	18935
44	890	18907
45	908	18836
46	927	18804
47	928	18409
48	947	18387
49	966	18367
50	986	18350
51	1006	18342
52	1027	18364
53	1048	18362
54	1067	18348
55	1086	18321
56	1106	18300
57	1126	18290
58	1145	18264
59	1163	18233
60	1183	18220
61	1201	18182
62	1220	18154
63	1239	18129
64	1257	18093
65	1277	18076
66	1297	18066
67	1315	18035
68	1335	18023
69	1359	18065
70	1379	18047
71	1398	18030
72	1416	17990
73	1433	17937
74	1453	17932
75	1473	17909
76	1490	17870
77	1510	17859
78	1529	17830
79	1547	17801
80	1566	17775
81	1584	17742
82	1604	17729
83	1626	17738
84	1647	17737
85	1667	17722
86	1690	17737
87	1709	17717
88	1727	17682
89	1751	17706
90	1771	17692
91	1792	17687
92	1810	17662
93	1830	17638
94	1849	17617
95	1868	17597
96	1887	17568
97	1907	17557
98	1927	17544
99	1946	17515
100	1966	17503
101	1986	17487
102	2008	17491
103	2027	17468
104	2046	17447
105	2065	17421
106	2086	17412
107	2105	17391
108	2124	17368
109	2146	17364
110	2165	17340
111	2182	17304
112	2202	17287
113	2220	17259
114	2239	17237
115	2258	17209
116	2259	17055
117	2277	17026
118	2298	17019
119	2317	16996
120	2338	16991
121	2358	16975
122	2377	16955
123	2395	16924
124	2415	16910
125	2433	16880
126	2451	16850
127	2469	16821
128	2488	16799
129	2508	16784
130	2525	16751
131	2544	16729
132	2562	16704
133	2580	16677
134	2599	16658
135	2620	16647
136	2639	16629
137	2662	16632
138	2683	16622
139	2704	16612
140	2729	16630
141	2749	16614
142	2769	16596
143	2788	16574
144	2807	16556
145	2825	16528
146	2844	16508
147	2862	16478
148	2880	16453
149	2900	16434
150	2917	16403
151	2937	16390
152	2960	16386
153	2978	16362
154	2998	16344
155	3017	16327
156	3036	16301
157	3055	16283
158	3073	16259
159	3093	16243
160	3112	16218
161	3129	16186
162	3145	16154
163	3164	16130
164	3182	16103
165	3200	16080
166	3217	16049
