iter	Logloss
0	0.6872566548
1	0.6819766978
2	0.6769261116
3	0.6725209554
4	0.6685876103
5	0.6647057554
6	0.6613270756
7	0.6581606616
8	0.6552787719
9	0.6525965672
10	0.6503290134
11	0.6481879009
12	0.6462522604
13	0.6443731672
14	0.6425948725
15	0.6410802972
16	0.6395790833
17	0.6382165997
18	0.6370968119
19	0.6357582271
20	0.6347621733
21	0.6335203516
22	0.6325673888
23	0.6316451187
24	0.6310030455
25	0.6302571819
26	0.6296754798
27	0.6291449906
28	0.628361998
29	0.6278860566
30	0.62729146
31	0.6265882641
32	0.626112381
33	0.6257208556
34	0.6251580901
35	0.6245800075
36	0.6241395313
37	0.6237812453
38	0.6234287826
39	0.6230591711
40	0.6227718446
41	0.6223645495
42	0.6220719544
43	0.6216220938
44	0.6213646355
45	0.6211344839
46	0.620865182
47	0.620684813
48	0.6204603023
49	0.6201059423
50	0.6199312069
51	0.6196530021
52	0.6194830392
53	0.6193739363
54	0.6191768564
55	0.6188910478
56	0.6186701128
57	0.6183284721
58	0.6181122439
59	0.6178834715
60	0.617730548
61	0.6174883703
62	0.6172234395
63	0.6168956857
64	0.6166239975
65	0.6164721758
66	0.6162796641
67	0.6159956798
68	0.615732785
69	0.6154800408
70	0.615235725
71	0.6151251699
72	0.6149864762
73	0.614844039
74	0.614594958
75	0.6144206386
76	0.6141697552
77	0.6140128692
78	0.6138101776
79	0.6135910158
80	0.6134651947
81	0.6131880335
82	0.6129923182
83	0.6127398877
84	0.6125658894
85	0.61239778
86	0.6121895716
87	0.6120470395
88	0.6118499085
89	0.6116314837
90	0.6114635714
91	0.6112523857
92	0.6110851374
93	0.6110015971
94	0.6108153976
95	0.6106672027
96	0.6105157386
97	0.6102363152
98	0.6100081777
99	0.609897017
