iter	Passed	Remaining
0	140	35057
1	144	17964
2	149	12291
3	153	9420
4	157	7734
5	161	6555
6	165	5758
7	169	5135
8	173	4639
9	177	4257
10	182	3966
11	187	3717
12	191	3497
13	196	3314
14	201	3160
15	206	3019
16	211	2894
17	217	2798
18	221	2697
19	226	2605
20	231	2527
21	236	2451
22	242	2390
23	248	2337
24	252	2270
25	256	2211
26	261	2159
27	266	2114
28	271	2066
29	275	2020
30	280	1984
31	285	1941
32	289	1904
33	295	1875
34	299	1840
35	303	1806
36	309	1784
37	315	1759
38	321	1737
39	325	1711
40	330	1686
41	336	1664
42	340	1637
43	345	1615
44	349	1590
45	353	1569
46	359	1552
47	364	1535
48	368	1512
49	373	1494
50	377	1474
51	381	1454
52	386	1435
53	390	1417
54	395	1402
55	399	1385
56	405	1372
57	409	1357
58	414	1341
59	418	1326
60	423	1313
61	428	1299
62	433	1285
63	439	1276
64	443	1262
65	449	1252
66	454	1241
67	459	1229
68	464	1218
69	469	1208
70	474	1195
71	479	1184
72	485	1176
73	490	1165
74	494	1154
75	499	1144
76	505	1135
77	510	1125
78	515	1116
79	520	1106
80	525	1097
81	531	1088
82	537	1081
83	541	1070
84	547	1063
85	552	1054
86	557	1043
87	561	1033
88	566	1024
89	570	1014
90	575	1004
91	579	995
92	585	988
93	590	979
94	596	972
95	601	964
96	605	955
97	610	946
98	615	938
99	619	929
100	623	920
101	628	911
102	632	903
103	638	895
104	641	886
105	648	880
106	653	873
107	658	865
108	663	858
109	668	850
110	673	842
111	678	835
112	682	827
113	687	820
114	692	812
115	697	805
116	702	798
117	707	791
118	712	784
119	717	777
120	721	769
121	727	763
122	731	755
123	736	748
124	741	741
125	745	734
126	750	726
127	755	719
128	761	714
129	766	707
130	771	701
131	777	695
132	782	688
133	787	681
134	793	676
135	798	669
136	804	663
137	810	657
138	815	650
139	819	643
140	824	637
141	829	631
142	834	624
143	839	617
144	845	611
145	849	605
146	855	599
147	860	592
148	864	585
149	869	579
150	874	573
151	879	566
152	883	560
153	889	554
154	894	548
155	899	541
156	904	535
157	909	529
158	914	523
159	919	517
160	925	511
161	930	505
162	935	499
163	940	493
164	944	486
165	949	480
166	955	474
167	961	469
168	966	463
169	971	457
170	975	450
171	980	444
172	984	438
173	990	432
174	994	426
175	999	420
176	1004	414
177	1009	408
178	1013	402
179	1017	395
180	1022	389
181	1026	383
182	1030	377
183	1035	371
184	1039	365
185	1043	359
186	1048	353
187	1052	346
188	1056	341
189	1061	335
190	1065	329
191	1070	323
192	1075	317
193	1079	311
194	1082	305
195	1087	299
196	1090	293
197	1094	287
198	1098	281
199	1103	275
200	1108	270
201	1112	264
202	1117	258
203	1122	253
204	1126	247
205	1129	241
206	1133	235
207	1139	230
208	1143	224
209	1147	218
210	1152	213
211	1157	207
212	1161	201
213	1166	196
214	1171	190
215	1175	185
216	1180	179
217	1185	174
218	1189	168
219	1194	162
220	1198	157
221	1202	151
222	1206	146
223	1210	140
224	1215	135
225	1220	129
226	1223	123
227	1228	118
228	1232	113
229	1237	107
230	1241	102
231	1246	96
232	1251	91
233	1255	85
234	1260	80
235	1265	75
236	1269	69
237	1274	64
238	1278	58
239	1284	53
240	1287	48
241	1292	42
242	1296	37
243	1300	31
244	1304	26
245	1308	21
246	1312	15
247	1317	10
248	1321	5
249	1324	0
